route,points,mae,mape,baseline_win_rate_pct_x,baseline_win_rate_pct_y
HND-DXB,2769,4.804622607439509,1.932188093463428,7.695086705202312,7.695086705202312
DXB-NYC,2015,10.040198511166253,2.614141516485441,13.65441906653426,13.65441906653426
TYO-DXB,2674,6.545250560957367,2.7130964064472733,7.594463150018706,7.594463150018706
SIN-SYD,1326,4.74132730015083,2.7582769338947157,21.660377358490564,21.660377358490564
DXB-SIN,3402,4.774838330393886,3.0624068548167034,5.821817112613937,5.821817112613937
TYO-SIN,2632,4.247340425531915,3.4649372963508984,8.361839604713037,8.361839604713037
DXB-TYO,3377,9.7240153982825,3.571995834561011,5.420616113744075,5.420616113744075
SYD-SIN,736,5.330163043478261,3.6231872424353004,22.857142857142858,22.857142857142858
SIN-NYC,1788,22.166666666666668,4.282052313117024,15.165081141578064,15.165081141578064
SIN-HND,2036,8.406679764243615,4.582143908304107,12.923832923832922,12.923832923832922
DXB-HND,3433,13.432566268569763,4.619122727419113,5.215617715617716,5.215617715617716
SIN-DXB,2651,8.91738966427763,4.741263331607625,7.09433962264151,7.09433962264151
TYO-LAX,1623,14.688231669747381,4.85430473482442,18.12577065351418,18.12577065351418
TYO-SYD,1581,11.518026565464895,4.890066080926806,16.962025316455694,16.962025316455694
SYD-DXB,778,17.182519280205657,5.000501890342191,35.64993564993565,35.64993564993565
CDG-TYO,1875,21.920533333333335,5.025324176425645,16.16862326574173,16.16862326574173
LHR-CDG,1250,4.2784,5.157449956463286,15.932746196957567,15.932746196957567
TYO-LHR,892,16.772421524663677,5.164222852781105,28.619528619528616,28.619528619528616
TYO-CDG,833,18.348139255702282,5.195526303564626,28.004807692307693,28.004807692307693
CDG-HND,1839,24.001087547580205,5.391767838238265,16.648531011969535,16.648531011969535
LHR-SYD,1171,29.880444064901795,5.5023670374677005,20.94017094017094,20.94017094017094
LHR-SIN,1036,23.015444015444015,5.746061217008162,24.444444444444443,24.444444444444443
SIN-TYO,1802,9.109322974472809,5.75451412652841,12.937257079400332,12.937257079400332
LHR-TYO,2032,25.905511811023622,5.977766758775175,14.52486459871984,14.52486459871984
NYC-LHR,2122,10.363336475023562,6.137533564721593,12.729844413012732,12.729844413012732
DXB-SYD,2176,19.381433823529413,6.157337745428639,11.35632183908046,11.35632183908046
SIN-CDG,934,21.3372591006424,6.158269237027112,30.86816720257235,30.86816720257235
CDG-LHR,1295,5.410810810810811,6.225102592630358,26.89335394126739,26.89335394126739
SIN-LAX,544,28.147058823529413,6.233858946440868,34.25414364640884,34.25414364640884
HND-LHR,882,20.511337868480727,6.242908539161557,29.171396140749152,29.171396140749152
TYO-NYC,1727,26.330052113491604,6.251780159317062,14.310544611819234,14.310544611819234
DXB-CDG,2481,11.214429665457477,6.272238437078401,10.564516129032258,10.564516129032258
DXB-MIA,1598,30.330413016270338,6.482258771378467,16.844082654978084,16.844082654978084
SYD-TYO,963,14.996884735202492,6.530257660197271,27.546777546777545,27.546777546777545
LHR-MIA,1083,25.642659279778393,6.6509801591847,21.534195933456562,21.534195933456562
DXB-LAX,1747,32.752146536920435,6.741116145125933,15.349369988545247,15.349369988545247
SIN-LHR,819,20.073260073260073,6.745927027019399,30.195599022004888,30.195599022004888
LHR-HND,1988,29.949698189134807,6.803350937808805,14.44388525415199,14.44388525415199
HND-NYC,1789,33.42537730575741,6.808188640105417,15.883668903803134,15.883668903803134
LHR-NYC,1415,21.4226148409894,6.831696140623476,22.418670438472418,22.418670438472418
DXB-LHR,2008,12.64093625498008,6.9143939307387825,12.25710014947683,12.25710014947683
LHR-LAX,1136,25.819542253521128,6.9309190665488964,29.251101321585903,29.251101321585903
LAX-TYO,1449,19.479641131815043,6.973393954166429,22.23756906077348,22.23756906077348
LAX-HND,1128,22.14627659574468,7.103126797865119,25.998225377107364,25.998225377107364
LAX-DXB,1367,29.34308705193855,7.5781044269965205,23.49926793557833,23.49926793557833
HND-LAX,1609,26.864512119328776,7.582260824942296,20.522388059701495,20.522388059701495
HND-SYD,1072,19.796641791044777,7.628364443909083,30.81232492997199,30.81232492997199
LHR-DXB,1387,16.90843547224225,7.668317384735847,21.71717171717172,21.71717171717172
HND-CDG,815,29.904294478527607,7.859128134129596,29.606879606879605,29.606879606879605
CDG-SIN,819,32.17094017094017,8.006626393580122,30.80684596577017,30.80684596577017
MIA-DXB,1292,30.05340557275542,8.020278050184592,24.864446165762974,24.864446165762974
SYD-NYC,1114,49.80071813285458,8.124423396279703,32.34501347708895,32.34501347708895
SYD-HND,957,19.63949843260188,8.272697137639602,30.020920502092054,30.020920502092054
NYC-TYO,1405,30.948754448398578,8.278487456658242,20.584045584045583,20.584045584045583
NYC-DXB,1431,25.44304682040531,8.407345700870037,20.20979020979021,20.20979020979021
NYC-HND,1022,37.333659491193735,9.002911958772703,25.465230166503428,25.465230166503428
CDG-NYC,1564,25.672634271099746,9.014905889203508,12.412028150991683,12.412028150991683
CDG-DXB,2028,16.861932938856015,9.049119534486728,13.813517513566847,13.813517513566847
LAX-SIN,579,35.027633851468046,9.376295931465068,35.121107266435985,35.121107266435985
SYD-LAX,772,42.42875647668394,9.767157090447133,36.964980544747085,36.964980544747085
CDG-SYD,1291,58.78466305189775,9.950497433327524,23.953488372093023,23.953488372093023
NYC-CDG,2827,17.096568800848956,10.177556575239985,7.678697806086341,7.678697806086341
NYC-SYD,1297,60.1017733230532,10.37877794790543,25.771604938271604,25.771604938271604
HND-SIN,2073,15.30197780993729,10.885629139303676,9.749034749034749,9.749034749034749
LAX-SYD,773,44.44372574385511,10.933100205659544,33.80829015544041,33.80829015544041
MIA-HND,771,65.56420233463035,10.93562880583885,39.87012987012987,39.87012987012987
CDG-MIA,1168,39.07277397260274,10.949065039945966,23.90745501285347,23.90745501285347
MIA-CDG,1506,26.729747675962816,11.20770240650793,19.20265780730897,19.20265780730897
SIN-MIA,328,69.98475609756098,11.259262515067144,38.837920489296636,38.837920489296636
MIA-TYO,770,57.4025974025974,11.342087252631652,41.222366710013006,41.222366710013006
SYD-LHR,1157,46.6732929991357,11.645993316551127,22.750865051903112,22.750865051903112
CDG-LAX,1669,38.383463151587776,11.824629841446368,16.966426858513188,16.966426858513188
LAX-LHR,975,26.323076923076922,12.054362947176218,34.29158110882957,34.29158110882957
MIA-LHR,781,26.87067861715749,12.19710470635878,40.12820512820513,40.12820512820513
SYD-MIA,113,80.78761061946902,12.44034581095879,23.214285714285715,23.214285714285715
NYC-SIN,1422,44.445850914205344,12.79756009335024,21.60450387051372,21.60450387051372
TYO-MIA,465,75.47096774193548,14.286526785394212,38.793103448275865,38.793103448275865
HND-MIA,465,89.2752688172043,14.592694522329753,34.91379310344828,34.91379310344828
NYC-LAX,3324,11.904933814681106,15.996717752835425,5.717724947336745,5.717724947336745
NYC-MIA,2935,6.216695059625213,16.393265994700933,6.407634628493525,6.407634628493525
LAX-NYC,3142,12.057924888605983,16.408574995880063,6.240050939191341,6.240050939191341
LAX-CDG,1680,35.239285714285714,17.537810850615724,16.79571173317451,16.79571173317451
MIA-LAX,1842,13.169381107491857,17.823432167368363,14.937533948940793,14.937533948940793
LAX-MIA,1942,13.881565396498456,18.084819626659932,14.322514167954662,14.322514167954662
MIA-SIN,102,86.6078431372549,18.3520205490901,15.841584158415841,15.841584158415841
MIA-NYC,2931,6.853633572159673,18.399363875195196,6.040955631399317,6.040955631399317
SYD-CDG,1125,100.78755555555556,21.13801217013483,19.128113879003557,19.128113879003557
MIA-SYD,217,187.40092165898616,26.614881459808252,35.18518518518518,35.18518518518518
